rxn	eawagCMPid1	eawagCMPid2	eawagENZid	expasyECnum	keggCMP1BestHit	keggCMP1alternatives	keggCMP2BestHit	keggCMP2alternatives
r0189	c0121	c0119	e0131	6.2.1.25	C00539	C00180	C00512	
r0190	c0119	c0212	e0176	1.3.7.8	C00512		C06322	
r0200	c0032	c0030	e0014	4.2.1.17	C00877		C03561	C01144;C05116
r0201	c0229	c0031	e0144	2.3.1.9	C00332		C00024	
r0191	c0215	c0216	e0175	4.2.1.-	C09811		C09812	
r0195	c0219	c0220	e0014	4.2.1.17	C06723		C06714	
r0203	c0212	c0230	e0184	4.2.1.100	C06322		C06749	
r0506	c0213	c0212			C09809		C06322	
r0507	c0214	c0212			C09810		C06322	
r0192	c0216	c0217	e0177	1.1.-.-	C09812		C09813	
r0196	c0220	c0221	e0181	1.1.1.259	C06714		C06715	
r0198	c0222	c0227	e0123	1.3.8.6	C00527		C02411	
r0199	c0227	c0032	e0136	4.1.1.70	C02411		C00877	
r0202	c0030	c0229	e0005	1.1.1.36	C03561	C01144;C05116	C00332	
r0204	c0230	c0231	e0185	4.2.1.-	C06749		C09824	
r0205	c0231	c0232	e0186	1.1.-.-	C09824		C09825	
r0193	c0217	c0218	e0178	3.7.1.-	C09813		C01063	
r0194	c0218	c0219	e0179	1.3.1.62	C01063		C06723	
r0197	c0221	c0031	e0182	2.3.1.-	C06715		C00024	
r0206	c0232	c0220	e0187	3.7.1.-	C09825		C06714	
r0321	c0184	c0121	e0621	4.1.1.-	C06337		C00539	C00180
