rxn	eawagCMPid1	eawagCMPid2	eawagENZid	expasyECnum	keggCMP1BestHit	keggCMP1alternatives	keggCMP2BestHit	keggCMP2alternatives
r0189	c0121	c0119	e0131	6.2.1.25	C00539	C00180	C00512	
r0245	c0121	c0280	e0154	1.14.12.10	C00539	C00180	C04634	C06321
r0623	c0121	c0104	e0414	1.14.13.12	C00539	C00180	C00156	
r0632	c0355	c0097	e0036	1.14.12.13	C02359	C02357	C00090	C05060;C01785;C15571
r1746	c0119	c1511	e1176	1.14.13.-	C00512		C19684	
r0246	c0280	c0097	e0219	1.3.1.25	C04634	C06321	C00090	C05060;C01785;C15571
r1667	c1454	c0097	e1103	1.14.12.-	C12284	C12283	C00090	C05060;C01785;C15571
r1747	c1511	c1512	e1177	4.1.2.44	C19684		C19683	
r1748	c1512	c1513	e1178	1.2.1.77	C19683		C19682	
r1750	c1513	c0344			C19682		C00091	
