rxn	eawagCMPid1	eawagCMPid2	eawagENZid	expasyECnum	keggCMP1BestHit	keggCMP1alternatives	keggCMP2BestHit	keggCMP2alternatives
r0860	c0764	c0778	e0543	1.14.13.-	C13624		C13629	
r0861	c0764	c0788	e0544	1.14.13.-	C13624		C13631	
r1724	c0764	c1489	e1158	1.14.-.-	C13624		C13638	
r0862	c0778	c0779	e0545	4.2.1.-	C13629		C13632	
r0863	c0788	c0789			C13631		C13633	
r0864	c0788	c0790	e0547	1.14.13.-	C13631		C13634	
r0866	c0779	c0694	e0549	1.3.-.-	C13632		C10700	
r0867	c0790	c0791	e0548	1.13.-.-	C13634		C13635	
r1410	c0791	c0104	e0889	1.13.11.41	C13635		C00156	
r1725	c1489	c1490	e1153	4.2.1.-	C13638		C14395	
r1726	c1490	c1491	e1154	1.3.-.-	C14395		C14200	
r1727	c1491	c1492	e1155	1.14.-.-	C14200		C06224	
r1728	c1492	c1493			C06224		C02845	
