rxn	eawagCMPid1	eawagCMPid2	eawagENZid	expasyECnum	keggCMP1BestHit	keggCMP1alternatives	keggCMP2BestHit	keggCMP2alternatives
r1156	c1026	c1029	e0718	1.2.1.-	C17384	C09848;C11384	C16462	
r1155	c1013	c1026	e0717	1.1.-.-	C09849	C11386	C17384	C09848;C11384
r1157	c1029	c1031	e0719	6.2.1.-	C16462		C16464	
r1159	c1031	c1032	e0720	1.3.1.-	C16464		C16465	C01920
r1166	c1032	c1033	e0721	6.4.1.5	C16465	C01920	C01291	
r1168	c1034	c1035	e0723	4.1.99.-	C04675		C16466	
r1305	c1138	c1139	e0664	1.1.1.35	C16469		C16471	
r1167	c1033	c1034	e0722	4.2.1.57	C01291		C04675	
r1302	c1035	c1136	e0144	2.3.1.9	C16466		C16470	
r1303	c1136	c1137	e0663	1.3.99.-	C16470		C16468	
r1304	c1137	c1138	e0014	4.2.1.17	C16468		C16469	
r1306	c1139	c1036	e0144	2.3.1.9	C16471		C03069	
