rxn	eawagCMPid1	eawagCMPid2	eawagENZid	expasyECnum	keggCMP1BestHit	keggCMP1alternatives	keggCMP2BestHit	keggCMP2alternatives
r0251	c0117	c0276	e0002	1.14.12.12	C07113		C07189	
r0309	c0273	c0274	e0218	1.3.1.66	C06727		C06728	
r0100	c0101	c0160	e0077	4.1.3.39	C03589		C00084	
r0247	c0116	c0273	e0217	1.14.12.-	C07111		C06727	
r0248	c0116	c0115	e0002	1.14.12.12	C07111		C19506	C07083
r0249	c0116	c0266	e0002	1.14.12.12	C07111		C11348	C07112
r0310	c0274	c0275	e0220	1.13.11.-	C06728		C07123	
r0311	c0275	c0102	e0221	3.7.1.-	C07123		C00596	
r0101	c0102	c0101	e0078	4.2.1.80	C00596		C03589	
r0250	c0266	c0117	e0002	1.14.12.12	C11348	C07112	C07113	
