rxn	eawagCMPid1	eawagCMPid2	eawagENZid	expasyECnum	keggCMP1BestHit	keggCMP1alternatives	keggCMP2BestHit	keggCMP2alternatives
r1333	c0031	c1170	e0341	2.3.1.5	C00024		C07585	
r1343	c1166	c1168	e0839	3.5.2.-	C07446		C02341	
r1344	c1168	c1169	e0840	3.5.1.-	C02341		C00417	C02341
r1334	c1161	c1173	e0834	1.11.1.6	C07054		C02421	
r1338	c1165	c1166	e0836	1.17.-.-	C07446		C07446	
r1339	c1166	c1167	e0838	1.17.-.-	C07446		C03458	
r1342	c1166	c0476			C07446		C01596	
r1345	c1166	c0311			C07446		C00232	
r0483	c0475	c0476			C03458		C01596	
r1335	c1161	c1163	e0834	1.11.1.6	C07054		C21754	
r1336	c1161	c1164	e0833	3.5.1.-	C07054		C07446	
r1337	c1164	c1165	e0835	1.17.-.-	C07446		C07446	
r1340	c1167	c0475	e0837	4.1.1.-	C03458		C03458	
r1346	c1173	c1164	e0068	3.5.1.4	C02421		C07446	
