rxn	eawagCMPid1	eawagCMPid2	eawagENZid	expasyECnum	keggCMP1BestHit	keggCMP1alternatives	keggCMP2BestHit	keggCMP2alternatives
r1309	c1143	c1097	e0801	1.2.-.-	C02373		C03467	
r1269	c1078	c1079	e0795	1.14.-.-	NA_eawagCMPid		NA_eawagCMPid	
r1270	c1079	c1092	e0816	1.1.-.-	NA_eawagCMPid		C02223	
r1273	c1140	c1141	e0821	1.1.-.-	C04405		C03344	
r1279	c1096	c1142	e0823	1.14.-.-	C03467		C03467	
r1280	c1097	c1100	e0806	4.1.1.-	C03467		C02845	
r1308	c1142	c1143	e0824	1.1.-.-	C03467		C02373	
r1271	c1080	c1093	e0818	6.2.1.-	C01570		C21089	
r1274	c1141	c0363	e0800	2.3.1.-	C03344		C02843	C00100
r1275	c1092	c1080	e0817	1.2.-.-	C02223		C01570	
r1277	c1108	c1140	e0820	4.2.1.-	C03345		C04405	
r1278	c1081	c1096	e0804	4.1.1.-	C02233		C03467	
r1307	c1141	c1081	e0822	3.1.2.-	C03344		C02233	
r1276	c1093	c1108	e0819	1.3.-.-	C21089		C03345	
