rxn	eawagCMPid1	eawagCMPid2	eawagENZid	expasyECnum	keggCMP1BestHit	keggCMP1alternatives	keggCMP2BestHit	keggCMP2alternatives
r0615	c0516	c0517	e0022	1.14.15.3	C21389		C21290	
r0618	c0518	c0520	e0409	4.2.1.-	C21297		C02632	
r0619	c0518	c0521	e0410	1.14.-.-	C21297		C01188	
r0620	c0521	c0523			C01188		C02287	
r0621	c0523	c0152	e0412	4.1.1.-	C02287		C01432	C00256;C00186
r1025	c0903	c0106	e0631	3.1.1.1	C11344		C00058	
r0616	c0517	c1334	e0988	1.1.-.-	C21290		C21291	
r0617	c0518	c0519	e0408	4.1.1.-	C21297		C01845	
r1023	c0515	c0516	e0551	1.14.14.1	C11344		C21389	
r1352	c0515	c0903	e0022	1.14.15.3	C11344		C11344	
r1535	c1334	c0518	e0989	1.2.1.-	C21291		C21297	
r1536	c0520	c0383	e0990	1.3.-.-	C02632		C02632	
