rxn	eawagCMPid1	eawagCMPid2	eawagENZid	expasyECnum	keggCMP1BestHit	keggCMP1alternatives	keggCMP2BestHit	keggCMP2alternatives
r0812	c0733	c0757	e0002	1.14.12.12	C16202		C03012	
r0814	c0757	c0758	e0255	1.13.11.56	C03012		C06204	
r0815	c0758	c0759	e0163	5.99.1.4	C06204		C06203	
r0816	c0759	c0159	e0257	4.1.2.25	C06203		C00022	
r0808	c0748	c0732	e0514	1.7.1.6	C07323		C07138	
r0809	c0732	c0749	e0518	1.13.11.-	C07138		C21928	
r0810	c0750	c0751	e0519	3.5.99.-	C21928		C02167	
r0811	c0751	c0159	e0520	3.7.1.-	C02167		C00022	
r0817	c0747	c0732	e0256	1.2.1.65	C06202		C07138	
r0818	c0749	c0750			C21928		C21928	
