rxn	eawagCMPid1	eawagCMPid2	eawagENZid	expasyECnum	keggCMP1BestHit	keggCMP1alternatives	keggCMP2BestHit	keggCMP2alternatives
r0920	c0111	c0830	e0573	4.1.99.-	C01384	C00122	C04411	
r0930	c0839	c0840	e0583	1.1.-.-	C05268		C05269	
r0925	c0834	c0835	e0578	4.2.1.-	C05276		C05278	
r0926	c0835	c0836	e0579	1.1.-.-	C05278		C05267	
r0927	c0836	c0031	e0580	2.3.1.-	C05267		C00024	
r0928	c0837	c0838	e0581	1.3.99.-	C05270		C05271	
r0929	c0838	c0839	e0582	4.2.1.-	C05271		C05268	
r0931	c0840	c0023	e0584	2.3.1.-	C05269		C00136	
r0921	c0830	c0831	e0574	2.8.3.5	C04411		C05274	
r0922	c0831	c0832	e0575	5.4.99.2	C05274		C20238	
r0923	c0159	c0833	e0576	2.1.3.1	C00022		C01944	
r0924	c0833	c0834	e0577	1.3.-.-	C01944		C05276	
