rxn	eawagCMPid1	eawagCMPid2	eawagENZid	expasyECnum	keggCMP1BestHit	keggCMP1alternatives	keggCMP2BestHit	keggCMP2alternatives
r0481	c0469	c0477			C15986		C16151	
r0482	c0469	c0473	e0625	3.7.1.9	C15986		C03056	
r1443	c1250	c1484	e0911	1.13.11.9	C01059		C18232	
r0478	c0470	c0472	e0339	1.5.3.6	C03043	C01056	C01297	
r0479	c0473	c0475	e0340	1.14.13.10	C03056		C03458	
r1442	c1249	c0311	e0913	3.7.1.-	C19631		C00232	
r1721	c1484	c0106	e1149	3.5.1.106	C18232		C00058	
r0477	c0471	c0472	e0338	1.5.3.5	C03043	C01056	C01297	
r0480	c0472	c0469	e0342	1.5.99.14	C01297		C15986	
r0503	c0474	c0131			C15987		C00011	
r1441	c0472	c1249	e0912	1.5.-.-	C01297		C19631	
r1827	c0474	c0122	e1235	1.5.3.19	C15987		C00067	
r0371	c0311	c0312	e0020	1.2.1.16	C00232		C00042	
r0978	c0468	c0470	e0337	1.5.99.4	C16386	C00745;C16150	C03043	C01056
r0979	c0468	c0471	e0337	1.5.99.4	C16386	C00745;C16150	C03043	C01056
r1828	c0474	c0137	e1236	1.5.3.21	C15987		C00218	
r0483	c0475	c0476			C03458		C01596	
