rxn	eawagCMPid1	eawagCMPid2	eawagENZid	expasyECnum	keggCMP1BestHit	keggCMP1alternatives	keggCMP2BestHit	keggCMP2alternatives
r0183	c0206	c0207	e0077	4.1.3.39	C06762		C00479	
r1561	c1346	c1349	e1014	1.13.11.-	C02923		C06210	
r0181	c0204	c0205	e0139	3.7.1.9	C06760		C06761	
r1562	c1349	c0131			C06210		C00011	
r1613	c1395	c1396	e1061	3.1.1.-	C18311		C18312	
r1614	c1396	c0131			C18312		C00011	
r1615	c0208	c1394	e0133	5.5.1.1	C04112		C04558	
r0176	c0200	c0201	e0019	1.1.1.90	C06757		C06758	
r0179	c0203	c0126	e0173	1.3.1.67	C06729		C06730	
r0180	c0126	c0204	e0156	1.13.11.2	C06730		C06760	
r0186	c0126	c0208	e0064	1.13.11.1	C06730		C04112	
r0187	c0208	c0209	e0133	5.5.1.1	C04112		C04559	
r1612	c1394	c1395	e1060	5.5.1.-	C04558		C18311	
r0177	c0201	c0202	e0079	1.2.1.7	C06758		C01454	
r0178	c0202	c0203	e0154	1.14.12.10	C01454		C06729	
r0182	c0205	c0206	e0078	4.2.1.80	C06761		C06762	
r1560	c0083	c1346	e1048	1.14.-.-	C06756		C02923	
r1611	c0209	c1394	e1062	5.4.99.14	C04559		C04558	
r0168	c0083	c0200	e0172	1.14.13.-	C06756		C06757	
