rxn	eawagCMPid1	eawagCMPid2	eawagENZid	expasyECnum	keggCMP1BestHit	keggCMP1alternatives	keggCMP2BestHit	keggCMP2alternatives
r0308	c0385	c0272	e0290	1.14.12.9	C03077	C03076	C01161	
r0364	c0272	c0305	e0125	1.13.11.15	C01161		C04642	
r0365	c0305	c0306	e0280	1.2.1.60	C04642		C04186	
r0366	c0306	c0307	e0135	5.3.3.10	C04186		C04052	
r0367	c0307	c0309	e0137	4.1.1.68	C04052		C03063	
r0370	c0310	c0159	e0282	4.1.3.-	C06201		C00022	
r0105	c0108	c0109	e0081	1.13.11.5	C00544		C01061	C01036
r0107	c0110	c0069	e0083	3.7.1.2	C01036	C01061	C00164	
r0298	c0235	c0108	e0126	1.13.11.27	C01179		C00544	
r0300	c0271	c0108	e0151	1.14.13.18	C00642		C00544	
r0301	c0271	c0272	e0150	1.14.14.9	C00642		C01161	
r0106	c0109	c0110	e0082	5.2.1.2	C01061	C01036	C01036	C01061
r0297	c0234	c0235	e0142	2.6.1.5	C01536	C06420;C00082	C01179	
r0299	c0235	c0271	e0244	1.2.3.13	C01179		C00642	
r0369	c0309	c0310	e0281	4.2.1.-	C03063		C06201	
r0371	c0311	c0312	e0020	1.2.1.16	C00232		C00042	
