Rxn	KO	Reac	Prod	Path	ReacProd	ENZYME	stoichReac	stoichProd
R01773	K00003	C00263	C00441	1110	C00263 <=> C00441	1.1.1.3	1	1
R01773	K00003	C00263	C00441	1120	C00263 <=> C00441	1.1.1.3	1	1
R01773	K00003	C00441	C00263	260	C00263 <=> C00441	1.1.1.3	1	1
R01773	K00003	C00441	C00263	270	C00263 <=> C00441	1.1.1.3	1	1
R01773	K00003	C00441	C00263	300	C00263 <=> C00441	1.1.1.3	1	1
R01773	K00003	C00441	C00263	1110	C00263 <=> C00441	1.1.1.3	1	1
R01773	K00003	C00441	C00263	1120	C00263 <=> C00441	1.1.1.3	1	1
R01775	K00003	C00263	C00441	260	C00263 <=> C00441	1.1.1.3	1	1
R01775	K00003	C00263	C00441	270	C00263 <=> C00441	1.1.1.3	1	1
R01775	K00003	C00263	C00441	300	C00263 <=> C00441	1.1.1.3	1	1
R01775	K00003	C00263	C00441	1110	C00263 <=> C00441	1.1.1.3	1	1
R01775	K00003	C00263	C00441	1120	C00263 <=> C00441	1.1.1.3	1	1
R01775	K00003	C00441	C00263	260	C00263 <=> C00441	1.1.1.3	1	1
R01775	K00003	C00441	C00263	270	C00263 <=> C00441	1.1.1.3	1	1
R01775	K00003	C00441	C00263	300	C00263 <=> C00441	1.1.1.3	1	1
R01775	K00003	C00441	C00263	1110	C00263 <=> C00441	1.1.1.3	1	1
R01775	K00003	C00441	C00263	1120	C00263 <=> C00441	1.1.1.3	1	1
R01034	K00005	C00116	C00184	561	C00116 <=> C00184	1.1.1.6	1	1
R01034	K00005	C00184	C00116	561	C00116 <=> C00184	1.1.1.6	1	1
R00842	K00006	C00093	C00111	564	C00093 <=> C00111	1.1.1.8	1	1
R00842	K00006	C00111	C00093	564	C00093 <=> C00111	1.1.1.8	1	1
R00868	K00007	C00095	C00392	51	C00392 <=> C00095	1.1.1.11	1	1
R00868	K00007	C00392	C00095	51	C00392 <=> C00095	1.1.1.11	1	1
R05604	K00007	C00310	C01904	40	C01904 <=> C00310	1.1.1.11	1	1
R05604	K00007	C01904	C00310	40	C01904 <=> C00310	1.1.1.11	1	1
R00875	K00008	C00095	C00794	51	C00794 <=> C00095	1.1.1.14	1	1
R00875	K00008	C00794	C00095	51	C00794 <=> C00095	1.1.1.14	1	1
R01896	K00008	C00310	C00379	40	C00379 <=> C00310	1.1.1.14	1	1
R01896	K00008	C00379	C00310	40	C00379 <=> C00310	1.1.1.14	1	1
R02703	K00009	C00644	C05345	51	C00644 <=> C05345	1.1.1.17	1	1
R02703	K00009	C05345	C00644	51	C00644 <=> C05345	1.1.1.17	1	1
R01041	K00011	C00116	C00577	561	C00116 <=> C00577	1.1.1.21	1	1
R01041	K00011	C00577	C00116	561	C00577 => C00116	1.1.1.21	1	1
R01041	K00011	C00577	C00116	561	C00116 <=> C00577	1.1.1.21	1	1
R01036	K00011	C00116	C00577	561	C00116 <=> C00577	1.1.1.21	1	1
R01036	K00011	C00577	C00116	561	C00577 => C00116	1.1.1.21	1	1
R01036	K00011	C00577	C00116	561	C00116 <=> C00577	1.1.1.21	1	1
R01093	K00011	C00124	C01697	52	C00124 <=> C01697	1.1.1.21	1	1
R01093	K00011	C01697	C00124	52	C00124 <=> C01697	1.1.1.21	1	1
R01095	K00011	C00124	C01697	52	C00124 <=> C01697	1.1.1.21	1	1
R01095	K00011	C01697	C00124	52	C00124 <=> C01697	1.1.1.21	1	1
R01431	K00011	C00181	C00379	40	C00379 <=> C00181	1.1.1.21	1	1
R01431	K00011	C00379	C00181	40	C00379 <=> C00181	1.1.1.21	1	1
R01758	K00011	C00259	C00532	40	C00532 <=> C00259	1.1.1.21	1	1
R01758	K00011	C00532	C00259	40	C00532 <=> C00259	1.1.1.21	1	1
R01759	K00011	C00259	C00532	40	C00532 <=> C00259	1.1.1.21	1	1
R01759	K00011	C00532	C00259	40	C00532 <=> C00259	1.1.1.21	1	1
R01787	K00011	C00267	C00794	51	C00794 <=> C00267	1.1.1.21	1	1
R01787	K00011	C00794	C00267	51	C00794 <=> C00267	1.1.1.21	1	1
R02531	K00011	C00546	C05999	620	C00546 => C05999	1.1.1.21	1	1
R02577	K00011	C05999	C00583	561	C05999 => C00583	1.1.1.21	1	1
R02577	K00011	C05999	C00583	620	C05999 => C00583	1.1.1.21	1	1
R04285	K00011	C03684	C04244	790	C03684 => C04244	1.1.1.21	1	1
R00286	K00012	C00029	C00167	40	C00029 <=> C00167	1.1.1.22	1	1
R00286	K00012	C00029	C00167	53	C00029 => C00167	1.1.1.22	1	1
R00286	K00012	C00029	C00167	500	C00029 => C00167	1.1.1.22	1	1
R00286	K00012	C00029	C00167	520	C00029 => C00167	1.1.1.22	1	1
R00286	K00012	C00029	C00167	1110	C00029 <=> C00167	1.1.1.22	1	1
R00286	K00012	C00167	C00029	40	C00029 <=> C00167	1.1.1.22	1	1
R00286	K00012	C00167	C00029	1110	C00029 <=> C00167	1.1.1.22	1	1
R01163	K00013	C00135	C01929	1110	C01929 <=> C00135	1.1.1.23	1	1
R01163	K00013	C01929	C00135	340	C01929 => C00135	1.1.1.23	1	1
R01163	K00013	C01929	C00135	1110	C01929 <=> C00135	1.1.1.23	1	1
R03012	K00013	C00860	C01929	340	C00860 => C01929	1.1.1.23	1	1
R03012	K00013	C00860	C01929	1110	C00860 <=> C01929	1.1.1.23	1	1
R03012	K00013	C01929	C00860	1110	C00860 <=> C01929	1.1.1.23	1	1
R02413	K00014	C00493	C02637	400	C00493 <=> C02637	1.1.1.25	1	1
R02413	K00014	C00493	C02637	1110	C00493 <=> C02637	1.1.1.25	1	1
R02413	K00014	C02637	C00493	400	C00493 <=> C02637	1.1.1.25	1	1
R02413	K00014	C02637	C00493	1110	C00493 <=> C02637	1.1.1.25	1	1
R00717	K00015	C00048	C00160	630	C00160 <=> C00048	1.1.1.26	1	1
R00717	K00015	C00048	C00160	1120	C00160 <=> C00048	1.1.1.26	1	1
R00717	K00015	C00160	C00048	630	C00160 <=> C00048	1.1.1.26	1	1
R00717	K00015	C00160	C00048	1120	C00160 <=> C00048	1.1.1.26	1	1
R01388	K00015	C00168	C00258	680	C00168 => C00258	1.1.1.26	1	1
R01388	K00015	C00168	C00258	260	C00258 <=> C00168	1.1.1.26	1	1
R01388	K00015	C00168	C00258	630	C00258 <=> C00168	1.1.1.26	1	1
R01388	K00015	C00168	C00258	1120	C00258 <=> C00168	1.1.1.26	1	1
R01388	K00015	C00258	C00168	260	C00258 <=> C00168	1.1.1.26	1	1
R01388	K00015	C00258	C00168	630	C00258 <=> C00168	1.1.1.26	1	1
R01388	K00015	C00258	C00168	1120	C00258 <=> C00168	1.1.1.26	1	1
R00703	K00016	C00022	C00186	10	C00186 <=> C00022	1.1.1.27	1	1
R00703	K00016	C00022	C00186	620	C00186 <=> C00022	1.1.1.27	1	1
R00703	K00016	C00022	C00186	1110	C00186 <=> C00022	1.1.1.27	1	1
R00703	K00016	C00022	C00186	1120	C00186 <=> C00022	1.1.1.27	1	1
R00703	K00016	C00186	C00022	10	C00186 <=> C00022	1.1.1.27	1	1
R00703	K00016	C00186	C00022	620	C00186 <=> C00022	1.1.1.27	1	1
R00703	K00016	C00186	C00022	1110	C00186 <=> C00022	1.1.1.27	1	1
R00703	K00016	C00186	C00022	1120	C00186 <=> C00022	1.1.1.27	1	1
R01000	K00016	C05984	C00109	640	C05984 => C00109	1.1.1.27	1	1
R03104	K00016	C00957	C05823	270	C00957 => C05823	1.1.1.27	1	1
R00717	K00018	C00048	C00160	630	C00160 <=> C00048	1.1.1.29	1	1
R00717	K00018	C00048	C00160	1120	C00160 <=> C00048	1.1.1.29	1	1
R00717	K00018	C00160	C00048	630	C00160 <=> C00048	1.1.1.29	1	1
R00717	K00018	C00160	C00048	1120	C00160 <=> C00048	1.1.1.29	1	1
R01388	K00018	C00168	C00258	680	C00168 => C00258	1.1.1.29	1	1
R01388	K00018	C00168	C00258	260	C00258 <=> C00168	1.1.1.29	1	1
R01388	K00018	C00168	C00258	630	C00258 <=> C00168	1.1.1.29	1	1
R01388	K00018	C00168	C00258	1120	C00258 <=> C00168	1.1.1.29	1	1
R01388	K00018	C00258	C00168	260	C00258 <=> C00168	1.1.1.29	1	1
R01388	K00018	C00258	C00168	630	C00258 <=> C00168	1.1.1.29	1	1
R01388	K00018	C00258	C00168	1120	C00258 <=> C00168	1.1.1.29	1	1
R01361	K00019	C00164	C01089	72	C01089 <=> C00164	1.1.1.30	1	1
R01361	K00019	C00164	C01089	650	C01089 <=> C00164	1.1.1.30	1	1
R01361	K00019	C01089	C00164	72	C01089 <=> C00164	1.1.1.30	1	1
R01361	K00019	C01089	C00164	650	C01089 <=> C00164	1.1.1.30	1	1
R05066	K00020	C06001	C06002	280	C06001 <=> C06002	1.1.1.31	1	1
R05066	K00020	C06002	C06001	280	C06001 <=> C06002	1.1.1.31	1	1
R02082	K00021	C00356	C00418	900	C00356 => C00418	1.1.1.34	1	1
R02082	K00021	C00356	C00418	1110	C00356 <=> C00418	1.1.1.34	1	1
R02082	K00021	C00418	C00356	1110	C00356 <=> C00418	1.1.1.34	1	1
R05066	K00022	C06001	C06002	280	C06001 <=> C06002	1.1.1.35	1	1
R05066	K00022	C06002	C06001	280	C06001 <=> C06002	1.1.1.35	1	1
R01975	K00022	C00332	C01144	71	C01144 <=> C00332	1.1.1.35	1	1
R01975	K00022	C00332	C01144	310	C01144 <=> C00332	1.1.1.35	1	1
R01975	K00022	C00332	C01144	650	C01144 <=> C00332	1.1.1.35	1	1
R01975	K00022	C00332	C01144	1120	C01144 <=> C00332	1.1.1.35	1	1
R01975	K00022	C01144	C00332	71	C01144 <=> C00332	1.1.1.35	1	1
R01975	K00022	C01144	C00332	310	C01144 <=> C00332	1.1.1.35	1	1
R01975	K00022	C01144	C00332	380	C01144 => C00332	1.1.1.35	1	1
R01975	K00022	C01144	C00332	650	C01144 <=> C00332	1.1.1.35	1	1
R01975	K00022	C01144	C00332	720	C01144 => C00332	1.1.1.35	1	1
R01975	K00022	C01144	C00332	1120	C01144 <=> C00332	1.1.1.35	1	1
