Abbreviation	Recon2Name	UniqueID	Degree in inhibition network	Database Names	KEGG Compound Type	PubChem CID	PubChem SID	HMDB	HMDB Kingdom	HMDB superClass	HMDB class	HMDB subClass
atp	atp	C00002	167	ATP	Nucleic acids!Vitamins and Cofactors	5957	3304	HMDB00538	Organic Compounds	Nucleosides, Nucleotides, and Analogues	Purine Nucleotides	Purine Ribonucleotides
pi	phosphate	C00009	117	Orthophosphate		1004	3311	HMDB01429	Inorganic Compounds	Others	Non-metal Oxoanionic Compounds	Non-metal Phosphates
gdp	gdp	C00035	61	GDP	Nucleic acids	8977	3337	HMDB01201	Organic Compounds	Nucleosides, Nucleotides, and Analogues	Purine Nucleotides	Purine Ribonucleotides
gtp	gtp	C00044	70	GTP	Nucleic acids	6830	3346	HMDB01273	Organic Compounds	Nucleosides, Nucleotides, and Analogues	Purine Nucleotides	Purine Ribonucleotides
nad	nicotinamide adenine dinucleotide	C00003	53	NAD+	Vitamins and Cofactors	5893	3305	HMDB00902	Organic Compounds	Nucleosides, Nucleotides, and Analogues	Purine Nucleotides	Purine Ribonucleotides
nadh	nicotinamide adenine dinucleotide _ reduced	C00004	62	NADH		439153	3306	HMDB01487	Organic Compounds	Nucleosides, Nucleotides, and Analogues	Purine Nucleotides	Purine Ribonucleotides
nadph	nicotinamide adenine dinucleotide phosphate _ reduced	C00005	47	NADPH		5884	3307	HMDB00221	Organic Compounds	Nucleosides, Nucleotides, and Analogues	Purine Nucleotides	Purine Ribonucleotides
adp	adp	C00008	145	ADP	Nucleic acids	6022	3310	HMDB01341	Organic Compounds	Nucleosides, Nucleotides, and Analogues	Purine Nucleotides	Purine Ribonucleotides
amp	amp	C00020	124	AMP	Nucleic acids	6083	3322	HMDB00045	Organic Compounds	Nucleosides, Nucleotides, and Analogues	Purine Nucleotides	Purine Ribonucleotides
pyr	pyruvate	C00022	45	Pyruvate	Organic acids	1060	3324	HMDB00243	Organic Compounds	Organic Acids and Derivatives	Keto-Acids and Derivatives	Alpha Keto-Acids and Derivatives
glu_L	l_glutamate	C00025	41	L-Glutamate	Peptides!Hormones and transmitters	33032	3327	HMDB00148	Organic Compounds	Amino Acids, Peptides, and Analogues	Amino Acids and Derivatives	Alpha Amino Acids and Derivatives
oaa	oxaloacetate	C00036	37	Oxaloacetate	Organic acids	970	3338	HMDB00223	Organic Compounds	Organic Acids and Derivatives	Carboxylic Acids and Derivatives	Dicarboxylic Acids and Derivatives
gly	glycine	C00037	19	Glycine	Peptides!Hormones and transmitters	750	3339	HMDB00123	Organic Compounds	Amino Acids, Peptides, and Analogues	Amino Acids and Derivatives	Alpha Amino Acids and Derivatives
ala_L	l_alanine	C00041	18	L-Alanine	Peptides	5950	3343	HMDB00161	Organic Compounds	Amino Acids, Peptides, and Analogues	Amino Acids and Derivatives	Alpha Amino Acids and Derivatives
ser_L	l_serine	C00065	14	L-Serine	Peptides	5951	3365	HMDB00187	Organic Compounds	Amino Acids, Peptides, and Analogues	Amino Acids and Derivatives	Alpha Amino Acids and Derivatives
ascb_L	l_ascorbate	C00072	45	Ascorbate	Vitamins and Cofactors	54670067	3372	HMDB00044	Organic Compounds	Others	Dihydrofurans	Furanones
pep	phosphoenolpyruvate	C00074	24	Phosphoenolpyruvate		1005	3374	HMDB00263	Organic Compounds	Aliphatic Acyclic Compounds	Organic Oxoanionic Compounds	Organic Phosphites
urea	urea	C00086	76	Urea		1176	3386	HMDB00294	Organic Compounds	Aliphatic Acyclic Compounds	Ureas	N/A
g6p	d_glucose 6_phosphate	C00092	29	D-Glucose 6-phosphate		5958	3392	HMDB01401	Organic Compounds	Carbohydrates and Carbohydrate Conjugates	Monosaccharides	Hexoses
dhap	dihydroxyacetone phosphate	C00111	11	Glycerone phosphate		668	3411	HMDB01473	Organic Compounds	Others	Organic Phosphoric Acids and Derivatives	Organophosphate Esters
cit	citrate	C00158	65	Citrate	Organic acids	311	3458	HMDB00094	Organic Compounds	Organic Acids and Derivatives	Carboxylic Acids and Derivatives	Tricarboxylic Acids and Derivatives
lac_L	l_lactate	C00186	4	(S)-Lactate		107689	3486	HMDB00190	Organic Compounds	Organic Acids and Derivatives	Hydroxy Acids and Derivatives	Alpha Hydroxy Acids and Derivatives
3pg	3_phospho_d_glycerate	C00197	19	3-Phospho-D-glycerate		439183	3497	HMDB60180	Organic Compounds	Others	Carbohydrates and Carbohydrate Conjugates	Sugar Acids and Derivatives
oxa	oxalate	C00209	26	Oxalate	Organic acids	971	3509	HMDB02329	Organic Compounds	Organic Acids and Derivatives	Carboxylic Acids and Derivatives	Dicarboxylic Acids and Derivatives
lac_D	d_lactate	C00256	5	(R)-Lactate	Organic acids	61503	3555	HMDB01311	Organic Compounds	Organic Acids and Derivatives	Hydroxy Acids and Derivatives	Alpha Hydroxy Acids and Derivatives
icit	isocitrate	C00311	15	Isocitrate	Organic acids	1198	3605	HMDB00193	Organic Compounds	Organic Acids and Derivatives	Carboxylic Acids and Derivatives	Tricarboxylic Acids and Derivatives
6pgc	6_phospho_d_gluconate	C00345	14	6-Phospho-D-gluconate		91493	3638	HMDB01316	Organic Compounds	Carbohydrates and Carbohydrate Conjugates	Sugar Acids and Derivatives	N/A
fdp	d_fructose 1,6_bisphosphate	C00354	25	D-Fructose 1,6-bisphosphate		172313	3647	HMDB01058	Organic Compounds	Carbohydrates and Carbohydrate Conjugates	Monosaccharides	Pentoses
dnad	deamino_nad+	C00857	6	Deamino-NAD+		165491	4114	HMDB01179	Organic Compounds	Nucleosides, Nucleotides, and Analogues	Purine Nucleotides	Purine Ribonucleotides
HC00900	Methylmalonate	C02170	2	Methylmalonate		487	5245	HMDB00202	Organic Compounds	Organic Acids and Derivatives	Carboxylic Acids and Derivatives	Dicarboxylic Acids and Derivatives
ps_hs	phosphatidylserine (homo sapiens)	C02737	20	Phosphatidylserine	Lipids		5698	HMDB00614	Organic Compounds	Lipids	Glycerophospholipids	Glycerophosphoserines
clpn_hs	cardiolipin (homo sapiens)	C05980	15	Cardiolipin	Lipids		8259	NA		Others		
akg	2_oxoglutarate	C00026	47	2-Oxoglutarate	Organic acids	51	3328	HMDB00208	Organic Compounds	Organic Acids and Derivatives	Keto-Acids and Derivatives	Gamma Keto-Acids and Derivatives
h2o2	hydrogen peroxide	C00027	65	Hydrogen peroxide		784	3329	HMDB03125	Inorganic Compounds	Others	Non-metal Oxoanionic Compounds	Non-metal Superoxides
succ	succinate	C00042	44	Succinate	Organic acids	1110	3344	HMDB00254	Organic Compounds	Organic Acids and Derivatives	Carboxylic Acids and Derivatives	Dicarboxylic Acids and Derivatives
glx	glyoxylate	C00048	27	Glyoxylate	Organic acids	760	3350	HMDB00119	Organic Compounds	Organic Acids and Derivatives	Carboxylic Acids and Derivatives	Carboxylic Acid Derivatives
gthrd	reduced glutathione	C00051	70	Glutathione	Vitamins and Cofactors	124886	3353	HMDB00125	Organic Compounds	Amino Acids, Peptides, and Analogues	Peptides	N/A
acald	acetaldehyde	C00084	18	Acetaldehyde		177	3384	HMDB00990	Organic Compounds	Aliphatic Acyclic Compounds	Carbonyl Compounds	Aldehydes
succoa	succinyl_coa	C00091	12	Succinyl-CoA		92133	3391	HMDB01022	Organic Compounds	Lipids	Fatty Acid Esters	Acyl CoAs
3mob	3_methyl_2_oxobutanoate	C00141	7	3-Methyl-2-oxobutanoic acid	Organic acids	49	3441	HMDB00019	Organic Compounds	Lipids	Fatty Acids and Conjugates	Branched Fatty Acids
pmtcoa	palmitoyl_coa (n_c16:0coa)	C00154	37	Palmitoyl-CoA		644109	3454	HMDB01338	Organic Compounds	Lipids	Fatty Acid Esters	Acyl CoAs
4mop	4_methyl_2_oxopentanoate	C00233	6	4-Methyl-2-oxopentanoate	Organic acids	70	3532	HMDB00695	Organic Compounds	Lipids	Fatty Acids and Conjugates	Branched Fatty Acids
nh4	ammonium	C01342	33	NH4+		223	4547	HMDB41827	Inorganic Compounds	Others	Other Non-metal Organides	Other Non-metal Hydrides
phytcoa	phytanyl coa	C02060	1	Phytanoyl-CoA		60210075	5149	HMDB01359	Organic Compounds	Lipids	Fatty Acid Esters	Acyl CoAs
C09642	(-)-Salsolinol	C09642	3	(-)-Salsolinol		91588	11832	HMDB05199	Organic Compounds	Aromatic Cyclic Compounds	Isoquinolines	N/A
CE4633	hypochlorous acid	C19697	1	Hypochlorous acid		24341	135626165	HMDB59650	Inorganic Compounds	Others	Non-metal Oxoanionic Compounds	Non-metal Hypochlorites
CE2006	4-hydroxy-2-nonenal	HMDB04362	10	4-Hydroxynonenal		3758852	5283344	HMDB04362	Organic Compounds	Lipids	Fatty Alcohols	N/A
nadp	nicotinamide adenine dinucleotide phosphate	C00006	46	NADP+	Vitamins and Cofactors	5886	3308	HMDB00217	Organic Compounds	Nucleosides, Nucleotides, and Analogues	Purine Nucleotides	Purine Ribonucleotides
coa	coenzyme a	C00010	47	CoA	Vitamins and Cofactors	87642	3312	HMDB01423	Organic Compounds	Nucleosides, Nucleotides, and Analogues	Purine Nucleotides	Purine Ribonucleotides
pydx5p	pyridoxal 5_phosphate	C00018	58	Pyridoxal phosphate	Vitamins and Cofactors	1051	3320	HMDB01491	Organic Compounds	Aromatic Cyclic Compounds	Pyridines and Derivatives	Pyridine Carboxaldehydes
cys_L	l_cysteine	C00097	52	L-Cysteine	Peptides	5862	3397	NA		Others		
meoh	methanol	C00132	32	Methanol		887	3432	HMDB01875	Organic Compounds	Aliphatic Acyclic Compounds	Alcohols and Polyols	Primary Alcohols
acetone	acetone	C00207	20	Acetone		180	3507	HMDB01659	Organic Compounds	Aliphatic Acyclic Compounds	Carbonyl Compounds	Ketones
dtt	dithiothreitol	C00265	93	Dithiothreitol		439196	3563	HMDB03156	Organic Compounds	Aliphatic Acyclic Compounds	Alcohols and Polyols	Secondary Alcohols
andrstndn	androstenedione	C00280	7	Androstenedione	Steroids!Hormones and transmitters	6128	3575	HMDB00053	Organic Compounds	Lipids	Steroids and Steroid Derivatives	Androgens and Derivatives
retinal	retinal	C00376	3	Retinal		638015	3666	HMDB01358	Organic Compounds	Lipids	Prenol Lipids	Retinoids
etoh	ethanol	C00469	49	Ethanol		702	3752	HMDB00108	Organic Compounds	Aliphatic Acyclic Compounds	Alcohols and Polyols	Primary Alcohols
no	nitric oxide	C00533	19	Nitric oxide		145068	3815	HMDB03378	Inorganic Compounds	Others	Other Non-metal Organides	Other Non-metal Oxides
tststerone	testosterone	C00535	16	Testosterone	Steroids!Hormones and transmitters	6013	3817	HMDB00234	Organic Compounds	Lipids	Steroids and Steroid Derivatives	Androgens and Derivatives
