kegg	eawag	alam	kegg	eawag	alam
C00263	0	1	C00441	0	0
C00263	0	1	C00441	0	0
C00441	0	0	C00263	0	1
C00441	0	0	C00263	0	1
C00441	0	0	C00263	0	1
C00441	0	0	C00263	0	1
C00441	0	0	C00263	0	1
C00263	0	1	C00441	0	0
C00263	0	1	C00441	0	0
C00263	0	1	C00441	0	0
C00263	0	1	C00441	0	0
C00263	0	1	C00441	0	0
C00441	0	0	C00263	0	1
C00441	0	0	C00263	0	1
C00441	0	0	C00263	0	1
C00441	0	0	C00263	0	1
C00441	0	0	C00263	0	1
C00116	1	1	C00184	0	1
C00184	0	1	C00116	1	1
C00093	0	1	C00111	0	1
C00111	0	1	C00093	0	1
C00095	0	1	C00392	0	0
C00392	0	0	C00095	0	1
C00310	0	1	C01904	0	0
C01904	0	0	C00310	0	1
C00095	0	1	C00794	0	1
C00794	0	1	C00095	0	1
C00310	0	1	C00379	0	1
C00379	0	1	C00310	0	1
C00644	0	0	C05345	0	0
C05345	0	0	C00644	0	0
C00116	1	1	C00577	0	1
C00577	0	1	C00116	1	1
C00577	0	1	C00116	1	1
C00116	1	1	C00577	0	1
C00577	0	1	C00116	1	1
C00577	0	1	C00116	1	1
C00124	0	1	C01697	0	1
C01697	0	1	C00124	0	1
C00124	0	1	C01697	0	1
C01697	0	1	C00124	0	1
C00181	0	1	C00379	0	1
C00379	0	1	C00181	0	1
C00259	0	1	C00532	0	1
C00532	0	1	C00259	0	1
C00259	0	1	C00532	0	1
C00532	0	1	C00259	0	1
C00267	1	0	C00794	0	1
C00794	0	1	C00267	1	0
C00546	0	1	C05999	0	0
C05999	0	0	C00583	0	0
C05999	0	0	C00583	0	0
C03684	0	0	C04244	0	0
C00029	0	1	C00167	0	1
C00029	0	1	C00167	0	1
C00029	0	1	C00167	0	1
C00029	0	1	C00167	0	1
C00029	0	1	C00167	0	1
C00167	0	1	C00029	0	1
C00167	0	1	C00029	0	1
C00135	0	1	C01929	0	0
C01929	0	0	C00135	0	1
C01929	0	0	C00135	0	1
C00860	0	0	C01929	0	0
C00860	0	0	C01929	0	0
C01929	0	0	C00860	0	0
C00493	0	0	C02637	0	0
C00493	0	0	C02637	0	0
C02637	0	0	C00493	0	0
C02637	0	0	C00493	0	0
C00048	1	1	C00160	1	1
C00048	1	1	C00160	1	1
C00160	1	1	C00048	1	1
C00160	1	1	C00048	1	1
C00168	0	1	C00258	0	1
C00168	0	1	C00258	0	1
C00168	0	1	C00258	0	1
C00168	0	1	C00258	0	1
C00258	0	1	C00168	0	1
C00258	0	1	C00168	0	1
C00258	0	1	C00168	0	1
C00022	1	1	C00186	1	1
C00022	1	1	C00186	1	1
C00022	1	1	C00186	1	1
C00022	1	1	C00186	1	1
C00186	1	1	C00022	1	1
C00186	1	1	C00022	1	1
C00186	1	1	C00022	1	1
C00186	1	1	C00022	1	1
C05984	0	1	C00109	0	1
C00957	0	1	C05823	0	1
C00048	1	1	C00160	1	1
C00048	1	1	C00160	1	1
C00160	1	1	C00048	1	1
C00160	1	1	C00048	1	1
C00168	0	1	C00258	0	1
C00168	0	1	C00258	0	1
C00168	0	1	C00258	0	1
C00168	0	1	C00258	0	1
C00258	0	1	C00168	0	1
C00258	0	1	C00168	0	1
C00258	0	1	C00168	0	1
C00164	1	1	C01089	0	1
C00164	1	1	C01089	0	1
C01089	0	1	C00164	1	1
C01089	0	1	C00164	1	1
C06001	0	0	C06002	1	0
C06002	1	0	C06001	0	0
C00356	0	1	C00418	0	1
C00356	0	1	C00418	0	1
C00418	0	1	C00356	0	1
C06001	0	0	C06002	1	0
C06002	1	0	C06001	0	0
C00332	1	1	C01144	1	0
C00332	1	1	C01144	1	0
C00332	1	1	C01144	1	0
C00332	1	1	C01144	1	0
C01144	1	0	C00332	1	1
C01144	1	0	C00332	1	1
C01144	1	0	C00332	1	1
C01144	1	0	C00332	1	1
C01144	1	0	C00332	1	1
C01144	1	0	C00332	1	1
C03344	0	0	C04405	0	0
C03344	0	0	C04405	0	0
C04405	0	0	C03344	0	0
C04405	0	0	C03344	0	0
C05258	0	0	C05259	0	0
C05258	0	0	C05259	0	0
C05259	0	0	C05258	0	0
C05259	0	0	C05258	0	0
C05260	0	0	C05261	0	0
C05260	0	0	C05261	0	0
C05261	0	0	C05260	0	0
C05261	0	0	C05260	0	0
C05262	0	0	C05263	0	0
C05262	0	0	C05263	0	0
C05263	0	0	C05262	0	0
C05263	0	0	C05262	0	0
C05264	0	0	C05265	0	0
C05264	0	0	C05265	0	0
C05265	0	0	C05264	0	0
C05265	0	0	C05264	0	0
C05266	0	0	C05267	0	1
C05266	0	0	C05267	0	1
C05267	0	1	C05266	0	0
C05267	0	1	C05266	0	0
C05268	0	0	C05269	0	1
C05268	0	0	C05269	0	1
C05269	0	1	C05268	0	0
C05269	0	1	C05268	0	0
C02232	1	0	C14145	1	0
C14145	1	0	C02232	1	0
C14145	1	0	C02232	1	0
C16469	1	0	C16471	1	0
C16469	1	0	C16471	1	0
C16471	1	0	C16469	1	0
C00332	1	1	C03561	1	0
C00332	1	1	C03561	1	0
C00332	1	1	C03561	1	0
C03561	1	0	C00332	1	1
C03561	1	0	C00332	1	1
C00036	0	1	C00149	0	1
C00036	0	1	C00149	0	1
C00036	0	1	C00149	0	1
C00036	0	1	C00149	0	1
C00036	0	1	C00149	0	1
C00036	0	1	C00149	0	1
C00036	0	1	C00149	0	1
C00036	0	1	C00149	0	1
C00149	0	1	C00036	0	1
C00149	0	1	C00036	0	1
C00149	0	1	C00036	0	1
C00149	0	1	C00036	0	1
C00149	0	1	C00036	0	1
C05528	0	1	C11537	0	0
C11537	0	0	C05528	0	1
C11537	0	0	C05528	0	1
C00036	0	1	C00149	0	1
C00036	0	1	C00149	0	1
C00036	0	1	C00149	0	1
C00036	0	1	C00149	0	1
C00036	0	1	C00149	0	1
C00036	0	1	C00149	0	1
C00036	0	1	C00149	0	1
C00036	0	1	C00149	0	1
C00149	0	1	C00036	0	1
C00149	0	1	C00036	0	1
C00149	0	1	C00036	0	1
C00149	0	1	C00036	0	1
C00149	0	1	C00036	0	1
C05528	0	1	C11537	0	0
C11537	0	0	C05528	0	1
C11537	0	0	C05528	0	1
C00036	0	1	C00149	0	1
C00036	0	1	C00149	0	1
C00036	0	1	C00149	0	1
C00036	0	1	C00149	0	1
C00036	0	1	C00149	0	1
C00036	0	1	C00149	0	1
C00036	0	1	C00149	0	1
C00036	0	1	C00149	0	1
C00149	0	1	C00036	0	1
C00149	0	1	C00036	0	1
C00149	0	1	C00036	0	1
C00149	0	1	C00036	0	1
C00149	0	1	C00036	0	1
C05528	0	1	C11537	0	0
C11537	0	0	C05528	0	1
C11537	0	0	C05528	0	1
C00011	1	1	C00149	0	1
C00022	1	1	C00149	0	1
C00022	1	1	C00149	0	1
C00149	0	1	C00011	1	1
C00149	0	1	C00011	1	1
C00149	0	1	C00022	1	1
C00149	0	1	C00022	1	1
C00149	0	1	C00022	1	1
C00011	1	1	C00149	0	1
C00022	1	1	C00149	0	1
C00022	1	1	C00149	0	1
C00149	0	1	C00011	1	1
C00149	0	1	C00011	1	1
C00149	0	1	C00022	1	1
C00149	0	1	C00022	1	1
C00149	0	1	C00022	1	1
C00011	1	1	C00149	0	1
C00022	1	1	C00149	0	1
C00022	1	1	C00149	0	1
C00022	1	1	C00149	0	1
C00149	0	1	C00011	1	1
C00149	0	1	C00011	1	1
C00149	0	1	C00022	1	1
C00149	0	1	C00022	1	1
C00149	0	1	C00022	1	1
C00149	0	1	C00022	1	1
C00026	1	1	C00311	0	1
C00026	1	1	C00311	0	1
C00026	1	1	C00311	0	1
C00311	0	1	C00026	1	1
C00311	0	1	C00026	1	1
C00311	0	1	C00026	1	1
C00006	0	1	C00005	0	1
C00011	1	1	C00311	0	1
C00026	1	1	C00311	0	1
C00026	1	1	C00311	0	1
C00311	0	1	C00026	1	1
C00026	1	1	C05379	0	0
C00026	1	1	C05379	0	0
C00026	1	1	C05379	0	0
C05379	0	0	C00026	1	1
C05379	0	0	C00026	1	1
C05379	0	0	C00026	1	1
C00311	0	1	C05379	0	0
C00311	0	1	C05379	0	0
C00311	0	1	C05379	0	0
C05379	0	0	C00311	0	1
C05379	0	0	C00311	0	1
C05379	0	0	C00311	0	1
C00345	0	1	C01218	0	0
C00345	0	1	C01218	0	0
C01218	0	0	C00345	0	1
C00006	0	1	C00005	0	1
C00345	0	1	C01218	0	0
