r0931	e0584	2.3.1.-	c0840	c0023
r0930	e0583	1.1.-.-	c0839	c0840
r0928	e0581	1.3.99.-	c0837	c0838
r1321	e0831	1.17.5.-	c1094	c1153
r1322	e0832	1.7.3.3	c1153	c1154
r1250	e0781	1.17.3.2	c1095	c1101
r0632	e0036	1.14.12.13	c0355	c0097
r0246	e0219	1.3.1.25	c0280	c0097
r1667	e1103	1.14.12.-	c1454	c0097
r0425			c0403	c0097
r0340	e0149	1.14.13.1	c0043	c0097
r1047	e0522	1.14.12.-	c0929	c0097
r0306	e0248	1.14.12.-	c0313	c0097
r1494	e0951	1.14.13.31	c1322	c0097
r0696	e0208	1.14.13.7	c0128	c0097
r0723	e0909	1.14.12.-	c0657	c0097
r0721	e0908	1.14.12.-	c0655	c0097
r1553	e1001	4.1.1.63	c0120	c0097
r0307	e0156	1.13.11.2	c0097	c0107
r0601	e0064	1.13.11.1	c0097	c0586
r0219	e0156	1.13.11.2	c0246	c0247
r0218	e0192	1.14.12.14	c0245	c0246
r1450	e0922	1.14.12.-	c1254	c1255
r1453	e0925	1.14.12.-	c1254	c0128
r1785	e1202	1.1.1.-	c1558	c1559
r1397	e0865	1.14.13.-	c1201	c1210
r1400	e0867	3.5.99.-	c1212	c1213
r1669	e1105	1.14.-.-	c1437	c1456
r1692	e1117	3.1.3.-	c1462	c0132
r1689	e1131	1.14.-.-	c1459	c1468
r0793	e0494	3.1.3.-	c0722	c0730
r1094	e0673	3.5.1.46	c0985	c0433
