rxn	eawagCMPid1	eawagCMPid2	eawagENZid	expasyECnum	keggCMP1BestHit	keggCMP1alternatives	keggCMP2BestHit	keggCMP2alternatives
r0286	c0299	c0099	e0066	3.1.1.45	C04431	C12838	C02222	
r0289	c0300	c1247	e0139	3.7.1.9	C07089			
r1434	c0300	c1246	e0904	1.2.1.32	C07089			
r1435	c1246	c1247	e0905	4.1.1.77				
r1436	c1247	c1248	e0906	4.2.1.-				
r1437	c1248	c0003	e0907	4.1.3.-			C14870	C06754;C15488
r0279	c0293	c0098	e0066	3.1.1.45	C04729	C04706	C06329	C16249
r0283	c0296	c0297	e0064	1.13.11.1	C16473	C14843;C02375	C16474	C03585
r0284	c0297	c0298	e0133	5.5.1.1	C16474	C03585	C07090	
r0285	c0297	c0299	e0065	5.5.1.7	C16474	C03585	C04431	C12838
r0287	c0296	c0300	e0156	1.13.11.2	C16473	C14843;C02375	C07089	
r0098	c0098	c0099	e0063	1.3.1.32	C06329	C16249	C02222	
r0276	c0290	c0292	e0231	1.13.11.-	C21852	C02933	C03918	
r0277	c0292	c0291	e0132	5.5.1.11	C03918		C04729	C04706
r0278	c0291	c0293	e0232	5.2.1.-	C04729	C04706	C04729	C04706
r0281	c0294	c0014	e0234	1.14.-.-	C07088		C00048	
r0282	c0295	c0296	e0152	1.14.13.20	C16485	C14453;C02124	C16473	C14843;C02375
r0099	c0099	c0100	e0063	1.3.1.32	C02222		C00846	
r0274	c0288	c0014	e0230	1.14.11.-	C03664		C00048	
r0275	c0289	c0290	e0152	1.14.13.20	C02625	C14521	C21852	C02933
r0280	c0288	c0294	e0233	1.97.1.-	C03664		C07088	
r0404	c0298	c0386	e0066	3.1.1.45	C07090		C07091	
