rxn	eawagCMPid1	eawagCMPid2	eawagENZid	expasyECnum	keggCMP1BestHit	keggCMP1alternatives	keggCMP2BestHit	keggCMP2alternatives
r1247	c1094	c1095	e0779	1.13.12.-	C07481		C07480	
r1251	c1094	c1102	e0779	1.13.12.-	C07481		C13747	
r1249	c1098	c1099	e0783	1.14.13.128	C16353		C00385	
r1250	c1095	c1101	e0781	1.17.3.2	C07480		C16361	
r1252	c1102	c1103	e0781	1.17.3.2	C13747		C16356	
r1253	c1098	c1104	e0781	1.17.3.2	C16353		C16355	
r1257	c1102	c1098	e0782	1.13.12.-	C13747		C16353	
r1321	c1094	c1153	e0831	1.17.5.-	C07481		C16361	
r1248	c1095	c1098	e0780	1.13.12.-	C07480		C16353	
r1322	c1153	c1154	e0832	1.7.3.3	C16361		C16362	
r1323	c1154	c1155			C16362		C16364	
