rxn	eawagCMPid1	eawagCMPid2	eawagENZid	expasyECnum	keggCMP1BestHit	keggCMP1alternatives	keggCMP2BestHit	keggCMP2alternatives
r1247	c1094	c1095	e0779	1.13.12.-	C07481		C07480	
r1249	c1098	c1099	e0783	1.14.13.128	C16353		C00385	
r1251	c1094	c1102	e0779	1.13.12.-	C07481		C13747	
r1324	c1094	c1152	e0779	1.13.12.-	C07481		C07130	
r1329	c1156	c1099	e0783	1.14.13.128	C16357		C00385	
r1331	c1157	c1099	e0783	1.14.13.128	C16358		C00385	
r1257	c1102	c1098	e0782	1.13.12.-	C13747		C16353	
r1319	c1095	c1156	e0780	1.13.12.-	C07480		C16357	
r1320	c1102	c1157	e0782	1.13.12.-	C13747		C16358	
r1325	c1152	c1156	e0830	1.13.12.-	C07130		C16357	
r1327	c1152	c1157	e0830	1.13.12.-	C07130		C16358	
