rxn	eawagCMPid1	eawagCMPid2	eawagENZid	expasyECnum	keggCMP1BestHit	keggCMP1alternatives	keggCMP2BestHit	keggCMP2alternatives
r0165	c0175	c0195	e0165	1.1.1.245	C00854		C00414	
r0166	c0195	c0059	e0166	1.14.13.22	C00414		C01880	
r1059	c0941	c0175	e0661	1.14.15.-	C11249		C00854	
r1060	c0123	c0942	e0662	6.2.1.-	C06104		C14143	
r1061	c0942	c0943	e0663	1.3.99.-	C14143		C14144	
r1062	c0943	c0944	e0014	4.2.1.17	C14144		C14145	
r0167	c0059	c0013	e0167	3.1.1.-	C01880		C06103	
r0174	c0013	c0112	e0168	1.1.1.258	C06103		C06102	
r0175	c0112	c0123	e0171	1.2.1.63	C06102		C06104	
r1063	c0944	c0931	e0664	1.1.1.35	C14145		C02232	
