rxn	eawagCMPid1	eawagCMPid2	eawagENZid	expasyECnum	keggCMP1BestHit	keggCMP1alternatives	keggCMP2BestHit	keggCMP2alternatives
r1546	c0464	c1340	e0346	1.7.1.-	C16398		C14401	
r1547	c1339	c1340	e0346	1.7.1.-	C18320		C14401	
r1501	c1313	c1314	e0966	1.14.12.-	C11006		C18315	
r1506	c1317	c1318	e0970	3.7.1.-	C18318		C00349	C06002;C21030
r1543	c1313	c0464	e0346	1.7.1.-	C11006		C16398	
r1544	c1313	c1339	e0346	1.7.1.-	C11006		C18320	
r1552	c1340	c0131			C14401		C00011	
r1502	c1314	c1315	e0967	1.13.12.-	C18315		C18316	
r1503	c1315	c1316	e0968	1.1.1.-	C18316		C18317	
r1504	c1316	c1317	e0969	1.13.11.-	C18317		C18318	
