rxn	eawagCMPid1	eawagCMPid2	eawagENZid	expasyECnum	keggCMP1BestHit	keggCMP1alternatives	keggCMP2BestHit	keggCMP2alternatives
r1385	c1188	c1202			C11090			
r1390	c1188	c1208	e0859	1.14.14.-	C11090			
r1382	c1188	c1189	e0856	1.14.-.-	C11090		C11090	
r1386	c1202	c1206	e0860	3.3.2.-				
r1388	c1202	c1208	e0861	1.1.-.-				
r1391	c1188	c1203	e0859	1.14.14.-	C11090			
r1424	c1188	c1205	e0857	1.14.14.-	C11090			
r1383	c1189	c1204	e0857	1.14.14.-	C11090			
r1384	c1204	c1205	e0858	3.1.6.-				
r1387	c1189	c1202	e0895	3.1.6.-	C11090			
r1389	c1207	c1209	e0862	3.1.1.-			C19204	
r1411	c1208	c1207	e0894	1.1.-.-				
r1413	c1206	c1208	e0897	1.14.-.-				
