rxn	eawagCMPid1	eawagCMPid2	eawagENZid	expasyECnum	keggCMP1BestHit	keggCMP1alternatives	keggCMP2BestHit	keggCMP2alternatives
r0419	c0397	c0398	e0297	3.1.1.-	C02274		C01198	
r1041	c0917	c0918	e0647	1.13.-.-	C16263		C16264	
r0410	c0404	c0391			C07722		C07723	
r0411	c0388	c0405	e0002	1.14.12.12	C07715		C07721	
r0415	c0392	c0393	e0294	1.13.11.-	C07717		C07725	
r0422	c0399	c0400	e0295	1.13.11.-	C07724		C07718	
r1043	c0405	c0392	e0649	1.3.-.-	C07721		C07717	
r0407	c0388	c0389	e0291	1.14.-.-	C07715		C06711	
r0408	c0389	c0390	e0292	1.1.1.256	C06711		C06712	
r0409	c0390	c0404	e0293	1.14.12.-	C06712		C07722	
r0412	c0388	c0392			C07715		C07717	
r0421	c0388	c0399			C07715		C07724	
r0662	c0388	c0389	e0002	1.14.12.12	C07715		C06711	
r0413	c0393	c0394	e0891	4.1.2.-	C07725		C07719	
r0414	c0394	c0395			C07719		C01504	
r0423	c0401	c0402			C07726		C07727	
r1039	c0390	c0916	e0645	1.14.-.-	C06712		C16262	
r1040	c0916	c0917	e0646	1.3.-.-	C16262		C16263	
r0416	c0395	c0396	e0296	1.14.-.-	C01504		C07720	
r0417	c0395	c0397	e0298	1.14.-.-	C01504		C02274	
r0418	c0398	c0043			C01198		C07587	C00805
r0420	c0400	c0159	e0892	4.1.2.-	C07718		C00022	
r0424	c0402	c0403	e0299	1.14.-.-	C07727		C07728	
r1042	c0918	c0102	e0648	3.7.1.-	C16264		C00596	
r0425	c0403	c0097			C07728		C00090	C05060;C01785;C15571
