rxn	eawagCMPid1	eawagCMPid2	eawagENZid	expasyECnum	keggCMP1BestHit	keggCMP1alternatives	keggCMP2BestHit	keggCMP2alternatives
r1718	c1471	c1472						
r1683	c1468	c1460	e1132	1.14.-.-	NA_eawagCMPid			
r1690	c1460	c1461	e1112	1.14.-.-				
r1691	c1461	c0132	e1116	3.1.4.-			C00132	
r1716	c1469	c0132	e1145	3.1.4.-	C07498		C00132	
r1717	c1470	c0693	e0054	3.1.8.1			C00009	C13558;C13197
r1719	c1472	c1473	e1146	3.1.1.-				
r1680	c1457	c1466			C07497		C04587	
r1684	c1460	c0132	e1113	3.1.4.-			C00132	
r1687	c1457	c0132	e1111	3.1.4.-	C07497		C00132	
r1715	c1467	c0132	e1144	3.1.4.-	C07498		C00132	
r1720	c1473	c0312	e1147	3.1.1.-			C00042	
r1681	c1457	c0038	e1109	3.1.1.-	C07497		C00469	
r1682	c1458	c0038	e1110	3.1.1.-			C00469	
r1685	c1464	c0132	e1114	3.1.3.-	NA_eawagCMPid		C00132	
r1689	c1459	c1468	e1131	1.14.-.-			NA_eawagCMPid	
r1692	c1462	c0132	e1117	3.1.3.-			C00132	
r1701	c1457	c1467	e1129	1.14.-.-	C07497		C07498	
r1686	c1463	c0693	e1115	1.14.-.-	NA_eawagCMPid		C00009	C13558;C13197
