rxn	eawagCMPid1	eawagCMPid2	eawagENZid	expasyECnum	keggCMP1BestHit	keggCMP1alternatives	keggCMP2BestHit	keggCMP2alternatives
r0335	c0334	c0129	e0122	1.3.1.29	C04514	C06205;C04314	C03012	
r0336	c0129	c0335	e0255	1.13.11.56	C03012		C06204	
r1609	c1393	c0333	e0002	1.14.12.12	C14114		C00829	
r1610	c1393	c0333	e0155	1.14.12.11	C14114		C00829	
r0334	c0333	c0334	e0002	1.14.12.12	C00829		C04514	C06205;C04314
r0337	c0335	c0336	e0163	5.99.1.4	C06204		C06203	
r0338	c0336	c0159	e0257	4.1.2.25	C06203		C00022	
r0339	c0337	c0043	e0256	1.2.1.65	C06202		C00805	C07587
r1616	c0333	c1009	e1063	1.14.-.-	C00829		C16213	
r0340	c0043	c0097	e0149	1.14.13.1	C00805	C07587	C00090	C05060;C01785;C15571
r1034	c0043	c0325	e0644	1.14.13.-	C00805	C07587	C00628	
