r0304	5.4.4.1	C02720	C01987	R05383
r0305	1.13.11.-	C01987	C03824
r0307	1.13.11.2	C15571	C00682
r0307	1.13.11.2	C00090	C00682	R00816
r0307	1.13.11.2	C05060	C00682
r0307	1.13.11.2	C01785	C00682
r0601	1.13.11.1	C15571	C02480
r0601	1.13.11.1	C15571	C03647
r0601	1.13.11.1	C00090	C02480	R00817
r0601	1.13.11.1	C00090	C03647
r0601	1.13.11.1	C05060	C02480
r0601	1.13.11.1	C05060	C03647
r0601	1.13.11.1	C01785	C02480
r0601	1.13.11.1	C01785	C03647
r1047	1.14.12.-	C00292	C15571
r1047	1.14.12.-	C00292	C00090
r1047	1.14.12.-	C00292	C05060
r1047	1.14.12.-	C00292	C01785
r1671	3.7.1.9	C00682	C00596	R02604
r0302	1.7.1.-	C06813	C06876
r0303	1.7.1.-	C06876	C02720
r0306	1.14.12.-	C06813	C15571
r0306	1.14.12.-	C06813	C00090
r0306	1.14.12.-	C06813	C05060
r0306	1.14.12.-	C06813	C01785
