rxn	eawagCMPid1	eawagCMPid2	eawagENZid	expasyECnum	keggCMP1BestHit	keggCMP1alternatives	keggCMP2BestHit	keggCMP2alternatives
r0232	c0264	c0099	e0207	1.13.11.37	C02814		C02222	
r0798	c0264	c0598	e0505	1.1.-.-	C02814		C07103	
r1497	c1325	c0264	e1044	1.10.3.-	C14604		C02814	
r1608	c1390	c0264	e1050	1.10.3.-	C18351		C02814	
r0227	c0261	c0091	e0202	1.6.5.6	C00472		C00530	C02389
r0228	c0091	c0262	e0203	1.13.11.-	C00530	C02389	C06603	
r0753	c0091	c0264	e0208	1.14.13.7	C00530	C02389	C02814	
r0799	c0598	c0261	e0506	1.1.-.-	C07103		C00472	
r1496	c1324	c1325	e0953	5.4.4.3	C14602		C14604	
r1607	c1324	c1390	e0953	5.4.4.3	C14602		C18351	
r0099	c0099	c0100	e0063	1.3.1.32	C02222		C00846	
r0229	c0262	c0099	e0204	1.2.1.61	C06603		C02222	
r0231	c0263	c0598	e0206	1.14.13.166	C02235		C07103	
r1494	c1322	c0097	e0951	1.14.13.31	C01988		C05060	C00090;C01785;C15571
r1495	c1323	c1324	e0952	1.7.1.-	C14418		C14602	
r0226	c0086	c0261	e0201	1.14.13.-	C00870		C00472	
r0230	c0086	c0263	e0205	1.14.13.29	C00870		C02235	
r0233	c0265	c0264	e0208	1.14.13.7	C01751		C02814	
r1050	c0100	c0931	e0654	2.8.3.6	C00846		C02232	
r1051	c0931	c0344	e0653	2.3.1.16	C02232		C00091	
