rxn	eawagCMPid1	eawagCMPid2	eawagENZid	expasyECnum	keggCMP1BestHit	keggCMP1alternatives	keggCMP2BestHit	keggCMP2alternatives
r1705	c1476	c1477	e1135	3.1.1.-	C14214			
r0149	c0183	c0120	e0106	4.1.1.55	C03233		C00230	
r0152	c0186	c0187	e0106	4.1.1.55	C06680		C00587	
r0153	c0187	c0120	e0109	1.14.13.23	C00587		C00230	
r1446	c1253	c0056	e0916	4.1.1.-	C03223		C00196	
r1447	c1253	c0120	e0917	4.1.1.-	C03223		C00230	
r1706	c1477	c0516	e1136	3.1.1.-			C21389	
r0102	c0181	c0182	e0104	1.14.12.7	C01606		C04783	
r0142	c0182	c0183	e0105	1.3.1.64	C04783		C03233	
r0321	c0184	c0121	e0621	4.1.1.-	C06337		C00539	C00180
r1444	c0181	c1252	e0914	1.14.12.-	C01606		C18314	
r1445	c1252	c1253	e0915	1.3.1.-	C18314		C03223	
r0150	c0184	c0185	e0107	1.14.12.15	C06337		C06318	
r0151	c0185	c0120	e0108	1.3.1.53	C06318		C00230	
