r0183	4.1.3.39	C06762	C00479
r0181	3.7.1.9	C06760	C06761	R05296
r1613	3.1.1.-	C18311	C18312	R09226
r1614		C18312	C00011
r1615	5.5.1.1	C04112	C04558	R09229
r0176	1.1.1.90	C06757	C06758	R05282
r0179	1.3.1.67	C06729	C06730	R05292	R05293
r0180	1.13.11.2	C06730	C06760	R05295
r0186	1.13.11.1	C06730	C04112	R05299
r0187	5.5.1.1	C04112	C04559	R05300
r1612	5.5.1.-	C04558	C18311	R09225
r0177	1.2.1.7	C06758	C01454	R05289
r0178	1.14.12.10	C01454	C06729
r0182	4.2.1.80	C06761	C06762	R05297
r1611	5.4.99.14	C04559	C04558	R04510
r0168	1.14.13.-	C06756	C06757
