r1783	1.1.1.263	C06485	C07326	R05682
r1783	1.1.1.263	C06485	C16538
r1784	2.7.1.1	C07326	C01113
r1784	2.7.1.1	C16538	C01113
r1786	1.1.1.292	C06485	C16538	R08194
r1786	1.1.1.292	C06485	C07326
r1781	4.2.2.13	C01898	C06485
r1781	4.2.2.13	C17207	C06485
r1781	4.2.2.13	C01835	C06485
r1781	4.2.2.13	C01935	C06485
r1781	4.2.2.13	C00420	C06485
r1781	4.2.2.13	C06219	C06485
r1782	4.2.2.13	C06422	C06485
r1782	4.2.2.13	C06421	C06485
r1782	4.2.2.13	C20861	C06485
r1782	4.2.2.13	C20236	C06485
r1782	4.2.2.13	C00897	C06485
r1782	4.2.2.13	C02964	C06485
r1782	4.2.2.13	C01971	C06485
r1782	4.2.2.13	C00185	C06485
r1782	4.2.2.13	C00208	C06485
r1782	4.2.2.13	C00243	C06485
r1787	1.14.-.-	C16538	C02209
r1787	1.14.-.-	C16538	C15923
r1787	1.14.-.-	C16538	C00267
r1787	1.14.-.-	C16538	C06465
r1787	1.14.-.-	C16538	C00221
r1787	1.14.-.-	C16538	C00962
r1787	1.14.-.-	C16538	C00159
r1787	1.14.-.-	C16538	C21032
r1787	1.14.-.-	C16538	C01487
r1787	1.14.-.-	C16538	C06464
r1787	1.14.-.-	C07326	C02209
r1787	1.14.-.-	C07326	C15923
r1787	1.14.-.-	C07326	C00267
r1787	1.14.-.-	C07326	C06465
r1787	1.14.-.-	C07326	C00221
r1787	1.14.-.-	C07326	C00962
r1787	1.14.-.-	C07326	C00159
r1787	1.14.-.-	C07326	C21032
r1787	1.14.-.-	C07326	C01487
r1787	1.14.-.-	C07326	C06464
