rxn	eawagCMPid1	eawagCMPid2	eawagENZid	expasyECnum	keggCMP1BestHit	keggCMP1alternatives	keggCMP2BestHit	keggCMP2alternatives
r0100	c0101	c0159	e0077	4.1.3.39	C03589		C00022	
r0105	c0108	c0109	e0081	1.13.11.5	C00544		C01036	C01061
r0259	c0226	c0102	e0139	3.7.1.9	C07087		C00596	
r0035	c0210	c0211	e0119	1.2.1.39	C00601		C07086	
r0036	c0211	c0223	e0197	1.14.14.-	C07086		C05852	
r0101	c0102	c0101	e0078	4.2.1.80	C00596		C03589	
r0106	c0109	c0110	e0082	5.2.1.2	C01036	C01061	C01061	C01036
r0225	c0115	c0037	e0195	1.14.13.-	C19506	C07083	C20782	C02083
r0252	c0223	c0108	e0198	1.14.13.-	C05852		C00544	
r0256	c0115	c0224	e0200	1.14.12.-	C19506	C07083	C07084	
r0034	c0037	c0210	e0196	5.3.99.7	C20782	C02083	C00601	
r0257	c0224	c0225	e0060	1.3.1.19	C07084		C07085	
r0258	c0225	c0226	e0156	1.13.11.2	C07085		C07087	
