rxn	eawagCMPid1	eawagCMPid2	eawagENZid	expasyECnum	keggCMP1BestHit	keggCMP1alternatives	keggCMP2BestHit	keggCMP2alternatives
r0383	c0012	c0014	e0268	3.8.1.-	C20123	C19212;C11149	C00048	
r0385	c0016	c0131			C18808	C11150	C00011	
r0386	c0011	c0016	e0229	1.1.-.-	C06899		C18808	C11150
r0387	c0011	c0015	e0229	1.1.-.-	C06899		C07490	
r0382	c0016	c0017	e0269	3.8.1.-	C18808	C11150	C17478	C00209
r0489	c0015	c0016			C07490		C18808	C11150
r0910	c0009	c0106	e0155	1.14.12.11	C06790		C00058	
r0911	c0009	c0011	e0007	1.14.13.25	C06790		C06899	
r1010	c0892	c0015	e0007	1.14.13.25	C18246		C07490	
r0378	c0009	c0010	e0222	1.14.13.-	C06790		C11148	
r0905	c0010	c0012			C11148		C20123	C19212;C11149
r0906	c0010	c0369			C11148		C00237	
r0909	c0009	c0014	e0155	1.14.12.11	C06790		C00048	
r0912	c0009	c0010	e0007	1.14.13.25	C06790		C11148	
r0907	c0010	c0014			C11148		C00048	
r0908	c0010	c0106			C11148		C00058	
