r0143	1.13.11.3	C00230	C01163	R01631
r0144	1.13.11.8	C00230	C04484	R01632
r1553	4.1.1.63	C00230	C15571
r1553	4.1.1.63	C00230	C01785
r1553	4.1.1.63	C00230	C05060
r1553	4.1.1.63	C00230	C00090	R00822
r0109	1.14.13.2	C00156	C00230	R01298
r0146	1.14.13.82	C06672	C00230	R05274
r0154	1.14.99.15	C02519	C00156	R01306
r0435	1.14.13.2	C00156	C00230	R01298
r0752	1.14.13.64	C00156	C02389
r0752	1.14.13.64	C00156	C00530	R01297	R01299
r0145	1.2.1.67	C00755	C06672	R05699
r0651	1.1.3.38	C06317	C00755	R02877
r0758	2.1.1.-	C06672	C00230	R07668
